,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,type,nb_users
mleeh,0.067138735903488,1.8207998357260385e-07,0.3188405797101449,9.1466,0.2180673824509441,8.289251838811613e-08,-0.0579710144927536,4.4008,0.0708734813573522,1.4492368368227193e-07,-0.0144927536231884,9.0125,0.0646790822355132,2.0403609399701282e-07,0.5724637681159421,9.29545,buzz,271
lpoto,0.0700558793900621,1.4529679019079945e-07,0.0869565217391304,8.72325,0.1714285714285714,7.190525823272985e-08,-0.2463768115942029,7.5618,0.079323050339237,1.2434448382234297e-07,-0.0289855072463767,8.1585,0.0685946041262564,1.577046460020501e-07,0.1449275362318841,8.7935,buzz,258
mddddddddddddddddddddddr,0.0644510635679833,1.656051959388862e-07,0.5144927536231885,8.142949999999999,0.0897819660014782,1.7862950472153962e-07,1.1014492753623188,7.1861,0.0773195876288659,1.273059886243938e-07,0.0579710144927536,8.1336,0.0612720612720612,1.9161181267557285e-07,0.8550724637681161,8.1832,buzz,453
trapl,0.0672867876745338,1.6310801164995222e-07,0.3188405797101449,8.7714,0.1337029105646126,1.390564761990419e-07,0.2753623188405797,4.4548000000000005,0.0743432109685979,1.4015643914437037e-07,0.0652173913043478,8.770199999999999,0.0657231922711375,1.8127851147852445e-07,0.4057971014492754,8.77545,buzz,600
mddddddrrrrrr,0.0648256884959012,1.7395502898494446e-07,0.5507246376811595,7.8839,0.0380952380952381,8.686345513363964e-08,-0.2608695652173913,7.0901,0.0784313725490196,1.2904013423562964e-07,0.1014492753623188,7.7477,0.0608890683256941,2.0331088759843082e-07,0.8115942028985507,7.938750000000001,buzz,642
taleurs,0.0729759113320757,1.4740012056550754e-07,0.3179568752209261,8.192150000000002,0.0583501006036217,1.1664886422340441e-07,-0.1219512195121951,7.0047,0.0774774774774774,1.343474731731924e-07,0.1594202898550725,8.0994,0.0712262133314764,1.561416557689655e-07,0.3840579710144927,8.27395,buzz,808
orhhhh,0.0709219858156028,1.7427737546928738e-07,0.5217391304347827,8.0455,0.1925008959068627,1.707255614815071e-07,0.1775362318840579,6.38355,0.0800542740841248,1.3398448137934946e-07,0.1304347826086956,7.499,0.0697174590928978,1.9357479379432879e-07,0.6376811594202898,8.24535,buzz,1087
shpa,0.0641658843164867,1.61581313674316e-07,0.4057971014492754,9.26065,0.0301948284140946,1.2434239711959938e-07,0.2608695652173913,8.60415,0.0658385093167701,1.4179050038638357e-07,0.1159420289855072,9.0122,0.0639626074408683,1.8943442474528105e-07,0.6811594202898551,9.3193,buzz,442
émoji,0.0740617180984153,2.069843831812229e-07,0.7272727272727273,6.7531,0.0927536231884058,1.2742068646965577e-07,0.1304347826086956,7.3505,0.0672035906793347,1.9851589866212568e-07,0.6811594202898551,6.9698,0.0785398230088495,2.204082511313536e-07,0.7971014492753624,6.5027,change,4011
tfasn,0.0645403467984112,1.818480903815885e-07,0.2318840579710145,9.098,0.116734693877551,1.0102390638659324e-07,-0.1304347826086956,4.6254,0.0735815602836879,1.413956870289247e-07,-0.0434782608695651,8.8533,0.0632176465509798,2.1388391257030642e-07,0.4927536231884059,9.34015,buzz,433
leuf,0.0767676767676767,1.6268543107213714e-07,0.3973684210526317,7.5075,0.1215663354763296,1.28432579140549e-07,0.072463768115942,6.9103,0.1014492753623188,1.205063002324714e-07,0.072463768115942,7.4043,0.0734791524265208,1.7781441546167168e-07,0.4782608695652176,7.5708,buzz,517
thuuug,0.0771344040574809,1.6022134192696293e-07,0.4347826086956524,7.816,0.0883288166214995,2.1872148832113869e-07,0.5816864295125165,5.71915,0.0826152711432693,1.478505904696041e-07,0.0652173913043478,7.9086,0.0764127202013269,1.6428907176079394e-07,0.5507246376811595,7.816,buzz,369
